description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Bread, wheat or cracked wheat, with raisins, toasted",162.67,823.08,24.38,10.46
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber",160.39,739.29,31.82,9.11
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted",197.4,912.0,39.16,11.2
"Bread, French or Vienna, whole wheat",109.11,531.11,18.51,2.31
"Bread, French or Vienna, whole wheat, toasted",1587.06,7735.29,269.12,33.53
"Bread, pita, whole wheat",98.05,459.65,17.19,3.0
"Bread, pita, wheat or cracked wheat",98.05,459.65,17.19,3.0
"Bagel, wheat",46.56,238.1,9.71,1.46
"Bagel, whole wheat",188.04,961.54,39.23,5.88
"Bagel, wheat, with raisins",199.73,980.77,36.58,5.38
"Bagel, whole wheat, with raisins",199.73,980.77,36.58,5.38
"Bagel, wheat, with fruit and nuts",195.5,1003.85,36.69,10.31
"Bagel, wheat bran",188.04,961.54,39.23,5.88
"Muffin, English, wheat bran",77.24,384.48,15.0,3.45
"Muffin, English, wheat bran, with raisins",83.19,398.28,14.07,3.14
"Muffin, English, wheat or cracked wheat",77.24,384.48,15.0,3.45
"Muffin, English, whole wheat",77.24,384.48,15.0,3.45
"Muffin, English, wheat or cracked wheat, with raisins",82.66,396.55,14.16,3.17
"Muffin, English, whole wheat, with raisins",82.66,396.55,14.16,3.17
"Muffin, English, whole grain white",77.24,384.48,15.0,3.45
"Breadsticks, hard, whole wheat",3395.0,21250.0,754.0,549.0
"Roll, wheat or cracked wheat",164.29,975.0,30.71,22.5
"Roll, wheat or cracked wheat, hot dog bun",105.13,597.78,25.98,8.02
"Roll, wheat or cracked wheat, hamburger bun",168.96,960.71,41.75,12.89
"Roll, whole wheat",164.29,975.0,30.71,22.5
"Roll, whole wheat, hot dog bun",99.84,597.78,27.51,9.73
"Roll, whole wheat, hamburger bun",160.46,960.71,44.21,15.64
"Roll, whole grain white",166.07,910.71,33.21,12.46
"Roll, whole grain white, hot dog bun",103.33,566.67,20.67,7.76
"Roll, whole grain white, hamburger bun",166.07,910.71,33.21,12.46
"Bread, rye",483.0,2590.0,85.0,33.0
"Bread, rye, toasted",183.03,982.76,32.21,12.52
"Bread, marble rye and pumpernickel",1725.0,9250.0,303.57,117.86
"Bread, marble rye and pumpernickel, toasted",2123.2,11400.0,373.6,145.2
"Muffin, English, rye",83.28,446.55,14.66,5.69
"Bread, pumpernickel",475.0,2500.0,87.0,31.0
"Bread, pumpernickel, toasted",180.0,948.28,32.97,11.76
"Bagel, pumpernickel",188.04,961.54,39.23,5.88
"Muffin, English, pumpernickel",81.9,431.03,15.0,5.34
"Bread, black",169.64,892.86,31.07,11.07
"Bread, black, toasted",208.8,1100.0,38.24,13.64
"Roll, rye",112.33,602.33,19.77,7.67
"Roll, pumpernickel",144.08,766.67,30.0,7.78
"Bread, oatmeal",112.79,625.58,19.53,10.23
"Bread, oatmeal, toasted",136.67,758.97,23.67,12.41
"Bread, oat bran",125.33,695.35,21.7,11.37
"Bread, oat bran, toasted",136.67,758.97,23.67,12.41
"Bagel, oat bran",188.04,961.54,39.23,5.88
"Roll, oatmeal",134.72,747.22,23.33,12.22
"Muffin, English, oat bran",83.62,463.79,14.48,7.59
"Muffin, English, oat bran, with raisins",88.93,468.97,13.6,6.86
"Bread, multigrain, toasted",144.33,881.82,44.48,14.09
"Bread, multigrain",120.39,736.11,37.11,11.75
"Bread, multigrain, with raisins",130.39,744.44,34.31,10.64
"Bread, multigrain, with raisins, toasted",156.3,893.94,41.15,12.76
"Bread, multigrain, reduced calorie and/or high fiber",124.75,575.0,24.75,7.08
"Bread, multigrain, reduced calorie and/or high fiber, toasted",149.55,690.91,29.67,8.48
"Roll, multigrain",103.72,611.63,22.33,13.95
"Roll, multigrain, hot dog bun",99.11,584.44,21.33,13.33
"Roll, multigrain, hamburger bun",159.29,939.29,34.29,21.43
"Bagel, multigrain",188.04,961.54,39.23,5.88
"Bagel, multigrain, with raisins",199.73,980.77,36.58,5.38
"Muffin, English, multigrain",77.24,384.48,15.0,3.45
"Bread, barley",169.79,978.57,38.11,16.18
"Bread, barley, toasted",237.45,1368.18,53.27,22.64
"Bread, soy",149.82,953.57,58.57,13.71
"Bread, soy, toasted",184.4,1172.0,72.08,16.88
"Bread, sunflower meal",171.36,1092.86,39.86,29.39
"Bread, sunflower meal, toasted",210.92,1344.0,49.04,36.2
"Bread, rice",163.5,885.71,15.39,18.71
"Bread, rice, toasted",201.24,1092.0,18.96,23.04
"Injera, Ethiopian bread",26.9,127.94,5.12,1.24
"Bread, gluten free",163.5,885.71,15.39,18.71
"Bread, gluten free, toasted",228.68,1240.91,21.55,26.18
"Breadsticks, hard, gluten free",3315.0,22650.0,562.5,792.0
"Roll, gluten free",180.25,853.57,11.93,9.46
"Biscuit, NFS",95.16,822.22,15.73,42.04
"Biscuit, from refrigerated dough",109.0,720.0,15.09,24.93
"Biscuit, from fast food / restaurant",61.17,528.57,10.11,27.03
"Biscuit, home recipe",99.76,777.78,15.62,35.49
"Biscuit, wheat",97.56,804.44,16.67,40.42
"Biscuit, cheese",86.18,831.11,19.33,45.4
Biscuit with fruit,103.27,806.67,14.89,37.89
Scone,68.67,545.71,9.53,26.21
"Scone, with fruit",73.14,534.29,9.04,23.63
"Cornbread, prepared from mix",605.11,3666.67,73.22,106.44
"Cornbread, made from home recipe",389.73,2609.09,59.55,89.09
Cornbread stuffing,21.9,179.0,2.9,8.8
"Cornbread muffin, stick, round",77.27,462.12,8.94,12.73
"Cornbread muffin, stick, round, made from home recipe",69.61,465.15,10.64,15.92
"Corn flour patty or tart, fried",411.8,2180.0,39.8,46.4
"Corn pone, baked",10.53,56.76,0.93,1.14
"Corn pone, fried",61.95,416.39,5.48,16.03
"Gordita/sope shell, plain, no filling",37.2,260.0,3.85,11.19
Hush puppy,182.77,1345.45,28.0,60.23
Johnnycake,89.41,561.22,16.04,15.22
Spoonbread,9.92,88.77,3.57,3.78
"Tortilla, NFS",61.05,340.26,9.03,7.04
"Tortilla, corn",57.97,283.12,7.4,3.7
"Tortilla, flour",88.18,546.43,14.64,14.27
"Tortilla, whole wheat",81.95,553.57,17.43,17.43
"Taco shell, corn",117.57,881.48,11.87,40.35
"Taco shell, flour",118.22,1135.56,19.62,64.6
Arepa Dominicana,26.5,232.17,4.92,12.17
"Muffin, NFS",40.77,288.46,3.45,12.36
"Muffin, fruit",92.98,657.89,7.88,28.19
"Muffin, fruit, low fat",200.2,1020.0,16.92,16.88
"Muffin, chocolate chip",42.62,309.23,4.44,14.65
"Muffin, chocolate",39.18,303.85,5.03,14.42
"Muffin, whole wheat",33.85,286.15,6.0,14.18
"Muffin, wheat",35.15,286.15,5.32,13.87
"Muffin, whole grain",182.8,1488.0,27.68,72.12
"Muffin, wheat bran",29.77,166.15,4.74,4.58
"Muffin, bran with fruit, lowfat",68.93,308.62,9.28,2.59
"Muffin, oatmeal",33.8,284.62,4.95,14.55
"Muffin, oat bran",37.15,207.69,5.38,5.69
"Muffin, plain",40.02,287.69,4.56,12.47
"Muffin, cheese",23.47,282.31,7.48,17.69
"Muffin, pumpkin",33.24,234.62,3.82,9.95
"Muffin, zucchini",32.8,235.38,3.88,10.11
"Muffin, carrot",34.05,240.0,3.85,10.15
Popover,113.81,864.52,35.65,29.68
"Bread, Boston Brown",105.64,608.89,23.71,10.07
"Bread, nut",101.73,810.2,13.55,40.37
"Bread, pumpkin",72.02,508.33,8.28,21.55
"Bread, fruit",115.9,900.0,14.76,43.46
"Bread, zucchini",106.6,765.0,12.62,32.85
"Bread, Irish soda",69.0,406.76,8.7,12.11
"Cake or cupcake, NFS",59.56,391.11,3.16,16.41
"Cake, angel food",97.83,428.33,10.17,0.5
"Cake or cupcake, apple",58.36,417.78,2.68,19.44
"Cake or cupcake, banana",58.97,421.11,2.74,19.46
"Cake or cupcake, Black Forest",15.66,114.0,1.74,5.33
"Cake, Boston cream pie",37.3,219.13,2.09,7.39
"Cake or cupcake, carrot",57.48,414.44,2.77,19.46
"Cake or cupcake, coconut",60.58,408.89,2.78,17.42
"Cheesecake, plain",20.18,229.71,3.13,15.43
"Cheesecake, fruit",19.33,195.0,2.48,12.16
"Cheesecake, chocolate",20.57,226.86,3.37,15.2
"Cake or cupcake, chocolate with white icing, bakery",181.2,1183.33,9.3,48.6
"Cake or cupcake, chocolate with white icing, from mix",212.52,1396.0,12.2,57.72
"Cake or cupcake, chocolate with chocolate icing, bakery",174.17,1150.0,10.97,50.67
"Cake or cupcake, chocolate with chocolate icing, from mix",205.0,1364.0,13.96,59.92
"Cake or cupcake, chocolate, no icing",288.53,2020.0,33.87,88.27
"Cake or cupcake, German chocolate",55.52,397.78,4.08,19.51
"Cake or cupcake, gluten free",42.14,455.56,5.41,32.69
"Cake, chocolate, flourless",32.98,356.52,4.23,25.58
"Cake, cream",33.36,317.78,4.27,18.92
"Snack cake, chocolate",402.07,2660.0,24.2,106.2
"Snack cake, white",426.87,2493.33,23.13,76.93
"Cake, fruit cake",53.57,281.74,2.52,7.91
"Cake or cupcake, gingerbread",39.43,240.0,3.17,7.97
Ice cream cake,11.55,83.24,0.87,3.73
"Cake, jelly roll",64.54,285.0,3.14,1.52
"Cake or cupcake, lemon",57.67,376.67,2.69,15.03
"Cake or cupcake, marble",58.41,385.56,3.41,16.73
"Cake or cupcake, peanut butter",52.8,431.11,6.86,22.01
"Cake, pound",46.64,306.96,4.35,12.14
"Cake or cupcake, pumpkin",57.31,414.44,2.78,19.46
"Cake or cupcake, red velvet",60.4,394.44,3.1,16.2
"Cake or cupcake, spice",62.68,455.56,2.96,21.59
"Cake, sponge",93.85,446.15,8.31,4.15
"Cake or cupcake, strawberry",55.83,362.22,2.47,14.32
"Cake, torte",16.89,120.5,1.64,5.18
"Cake, tres leche",20.95,134.5,3.24,4.36
"Cake, pineapple, upside down",34.01,237.39,2.07,10.59
"Cake or cupcake, white with white icing, bakery",183.17,1196.67,8.0,47.77
"Cake or cupcake, white with white icing, from mix",215.12,1412.0,10.48,56.64
"Cake or cupcake, white with chocolate icing, bakery",176.13,1163.33,9.67,49.83
"Cake or cupcake, white with chocolate icing, from mix",207.6,1380.0,12.24,58.84
"Cake or cupcake, white, no icing",295.73,2066.67,29.07,85.2
"Cake, strawberry shortcake",22.91,122.29,1.89,2.7
"Cake or cupcake, zucchini",56.76,412.22,2.8,19.47
"Cookie, batter or dough, raw",21.79,174.0,1.99,8.98
"Cookie, NFS",1307.2,9840.0,102.0,494.4
"Cookie, almond",1275.6,10280.0,107.4,524.4
"Cookie, applesauce",1374.0,9000.0,124.0,362.0
"Cookie, biscotti",209.38,1165.62,23.84,26.16
"Cookie, brownie, NS as to icing",127.8,810.0,9.6,32.6
"Cookie, brownie, without icing",127.8,810.0,9.6,32.6
"Cookie, brownie, with icing or filling",158.88,1002.5,7.35,42.38
"Cookie, brownie, reduced fat, NS as to icing",123.16,690.0,5.54,19.36
"Cookie, butterscotch, brownie",127.8,810.0,9.6,32.6
"Cookie, bar, with chocolate",217.87,1640.0,17.0,82.4
"Cookie, chocolate chip",1307.2,9840.0,102.0,494.4
"Cookie, chocolate chip, made from home recipe or purchased at a bakery",1191.6,9900.0,118.2,568.2
"Cookie, chocolate chip, reduced fat",1349.8,9020.0,119.4,358.2
"Cookie, chocolate chip sandwich",2117.33,14166.67,98.0,588.33
"Cookie, chocolate, made with rice cereal",210.87,1466.67,10.77,64.5
"Cookie, chocolate, made with oatmeal and coconut, no bake",1374.0,9000.0,124.0,362.0
"Cookie, chocolate or fudge",1454.0,8660.0,132.0,284.0
"Cookie, chocolate or fudge, reduced fat",1349.8,9020.0,119.4,358.2
"Cookie, chocolate, with chocolate filling or coating, fat free",421.81,2818.75,37.31,111.94
"Cookie, marshmallow, chocolate-covered",241.79,1503.57,14.29,60.36
"Cookie, marshmallow pie, chocolate covered",199.12,1238.24,11.76,49.71
"Cookie, chocolate, with icing or coating",969.57,7242.86,64.29,345.71
"Cookie, sugar wafer, chocolate-covered",439.93,3506.67,23.0,183.93
"Cookie, chocolate sandwich",2366.67,15466.67,173.67,638.0
"Cookie, chocolate sandwich, reduced fat",2539.0,14533.33,98.0,441.33
"Cookie, chocolate, sandwich, with extra filling",151.56,1104.44,9.62,54.49
"Cookie, chocolate and vanilla sandwich",2366.67,15466.67,173.67,638.0
"Cookie, chocolate wafer",1454.0,8660.0,132.0,284.0
"Cookie, graham cracker with chocolate and marshmallow",363.0,2447.37,33.47,97.74
"Cookie bar, with chocolate, nuts, and graham crackers",172.0,1294.74,13.42,65.05
"Cookie, coconut",1224.4,9200.0,60.4,451.0
"Cookie, fruit-filled bar",283.6,1392.0,14.8,29.2
"Cookie, fig bar",1125.4,5523.81,58.73,115.87
"Cookie, fortune",1050.0,4725.0,52.5,33.75
"Cookie, cone shell, ice cream type, wafer or cake",1975.0,10425.0,202.5,172.5
"Cookie, gingersnaps",1538.0,8320.0,112.0,196.0
"Cookie, granola",1334.0,9280.0,196.0,352.0
"Cookie, ladyfinger",719.28,4397.59,127.71,109.64
"Cookie, lemon bar",164.87,1150.0,13.5,49.84
"Cookie, macaroon",127.54,958.33,6.29,46.98
"Cookie, marshmallow, with coconut",112.83,701.67,6.67,28.17
"Cookie, marshmallow, with rice cereal, no bake",105.92,548.68,4.47,11.84
"Cookie, marshmallow, with rice cereal and chocolate chips",83.24,572.37,5.99,23.92
"Cookie, marshmallow and peanut butter, with oat cereal, no bake",105.92,548.68,4.47,11.84
"Cookie, meringue",542.0,2333.33,37.6,1.73
"Cookie, molasses",1476.0,8600.0,112.0,256.0
"Cookie, Lebkuchen",153.75,895.83,11.67,26.67
"Cookie, multigrain, high fiber",222.33,1546.67,32.67,58.67
"Cookie, oatmeal",1374.0,9000.0,124.0,362.0
"Cookie, oatmeal, with raisins",1374.0,9000.0,124.0,362.0
"Cookie, oatmeal, reduced fat, NS as to raisins",107.7,608.33,6.7,16.73
"Cookie, oatmeal sandwich, with creme filling",132.43,947.62,6.21,43.55
"Cookie, oatmeal, with chocolate chips",1351.2,9140.0,114.4,418.4
"Cookie, oatmeal sandwich, with peanut butter and jelly filling",1854.0,13266.67,87.0,609.67
"Cookie, oatmeal, with chocolate and peanut butter, no bake",1374.0,9000.0,124.0,362.0
"Cookie, peanut butter",1163.0,9460.0,178.4,476.4
"Cookie, peanut butter, with chocolate",1190.2,9500.0,156.0,505.8
"Cookie, peanut butter with rice cereal, no bake",105.92,548.68,4.47,11.84
"Cookie, peanut butter sandwich",156.19,1138.1,20.95,50.24
"Cookie, with peanut butter filling, chocolate-coated",755.71,8028.57,115.71,504.29
"Cookie, Pfeffernusse",245.31,1976.92,20.65,100.85
"Cookie, Pizzelle",607.69,3207.69,62.31,53.08
"Cookie, pumpkin",1374.0,9000.0,124.0,362.0
"Cookie, raisin",1360.0,8020.0,82.0,272.0
"Cookie, raisin sandwich, cream-filled",1854.0,13266.67,87.0,609.67
"Cookie, rum ball, no bake",579.82,4672.73,48.82,238.36
"Cookie, sandwich-type, not chocolate or vanilla",2403.33,16100.0,150.0,666.67
"Cookie, shortbread",1275.6,10280.0,107.4,524.4
"Cookie, shortbread, reduced fat",1519.8,9020.0,107.4,280.0
"Cookie, shortbread, with icing or filling",894.29,7357.14,72.14,404.43
Pocky,1277.0,11175.0,250.0,562.5
"Cookie, animal",1852.5,11150.0,172.5,345.0
"Cookie, animal, with frosting or icing",1401.8,10180.0,60.0,482.0
"Cookie, butter or sugar",1346.8,9280.0,107.0,391.0
Marie biscuit,1007.71,5800.0,100.71,151.14
"Cookie, butter or sugar, with fruit and/or nuts",1305.2,9280.0,131.6,414.2
"Cookie, sugar wafer",1766.0,12550.0,96.0,581.0
"Cookie, toffee bar",172.0,1294.74,13.42,65.05
"Cookie, vanilla sandwich",2403.33,16100.0,150.0,666.67
"Cookie, vanilla sandwich, extra filling",2273.33,16566.67,144.33,817.33
"Cookie, vanilla sandwich, reduced fat",2605.33,14100.0,139.0,347.33
"Cookie, butter or sugar, with chocolate icing or filling",983.29,7185.71,58.57,335.71
"Cookie, butter or sugar, with icing or filling other than chocolate",1038.57,6185.71,48.29,213.29
"Cookie, tea, Japanese",4200.0,18900.0,210.0,135.0
"Cookie, vanilla wafer",2420.0,15166.67,163.33,547.0
"Cookie, vanilla wafer, reduced fat",460.0,2756.25,31.25,95.0
"Cookie, vanilla with caramel, coconut, and chocolate coating",228.93,1746.43,12.5,92.14
"Cookie, rugelach",308.26,1513.04,16.09,31.74
"Cookie, chocolate chip, sugar free",1468.0,9000.0,78.0,336.0
"Cookie, oatmeal, sugar free",1398.0,8980.0,96.0,360.0
"Cookie, sandwich, sugar free",188.89,1280.56,12.5,61.39
"Cookie, sugar or plain, sugar free",84.2,871.67,17.23,51.72
"Cookie, sugar wafer, sugar free",1656.5,13275.0,89.25,714.25
"Cookie, peanut butter, sugar free",252.6,2615.0,51.7,155.15
"Cookie, gluten free",1520.6,9480.0,43.8,357.8
"Cookies, Puerto Rican style",178.79,1331.58,16.63,61.05
"Pie, NFS",50.07,394.67,3.6,20.37
"Tart, all types",34.08,252.8,2.4,12.88
"Pie, apple",50.07,394.67,3.6,20.37
"Pie, apple, fast food",34.08,252.8,2.4,12.88
"Pie, berry",52.71,408.0,4.21,20.57
"Pie, blueberry",50.6,400.0,3.76,20.69
"Pie, cherry",54.57,414.67,3.93,20.4
"Pie, lemon",20.83,186.67,1.74,10.85
"Pie, key lime",28.05,214.67,3.82,10.01
"Pie, peach",49.48,394.67,3.77,20.37
"Pie, strawberry",29.48,192.67,1.92,7.73
"Pie, banana cream",21.41,189.33,1.75,10.87
"Pie, chocolate cream",21.51,194.0,1.97,11.23
"Pie, coconut cream",21.15,197.33,1.84,11.97
"Pie, custard",13.87,140.0,3.67,7.73
Dessert pizza,29.91,188.89,1.72,6.98
"Pie, peanut butter cream",21.93,280.67,4.17,20.3
"Pie, pineapple cream",20.64,182.0,1.71,10.46
"Pie, pumpkin",48.45,332.0,6.35,13.04
"Pie, sweet potato",54.77,358.67,6.61,13.0
"Pie, vanilla cream",21.39,190.0,1.77,10.98
"Pie, lemon meringue",29.13,196.0,3.02,7.56
"Pie, pecan",66.17,586.67,7.87,33.41
"Pie, oatmeal",37.95,264.0,4.09,10.68
Pie shell,224.96,2032.0,26.0,114.36
"Pie shell, graham cracker",257.2,2004.0,20.4,99.32
"Pie shell, chocolate",257.92,1936.0,24.32,89.68
"Cobbler, apple",13.42,86.8,0.82,3.46
"Cobbler, berry",14.48,92.4,1.06,3.54
"Cobbler, cherry",15.23,94.8,0.95,3.48
"Cobbler, peach",13.19,86.8,0.89,3.46
"Crisp, apple",12.07,86.0,1.12,3.84
"Fritter, plain",27.46,378.0,6.56,26.93
"Fritter, fruit",37.29,403.0,6.3,25.59
"Crisp, berry",13.12,91.2,1.36,3.91
"Crisp, cherry",13.87,93.6,1.25,3.84
"Crisp, peach",11.84,85.6,1.19,3.84
"Cream puff, eclair, custard or cream filled, NS as to icing",10.45,273.53,4.44,24.12
"Cream puff, eclair, custard or cream filled, not iced",14.08,292.22,5.51,24.06
"Cream puff, eclair, custard or cream filled, iced",36.7,327.45,4.32,18.16
"Cream puff, eclair, custard or cream filled, iced, reduced fat",69.88,403.33,5.8,12.07
"Cream puff, no filling or icing",84.44,1333.33,33.33,95.93
"Sopaipilla, without syrup or honey",414.6,3670.0,57.9,201.8
Sopaipilla with syrup or honey,430.83,3008.33,36.5,135.42
"Crepe, chocolate filled",28.65,212.5,6.09,8.15
"Crepe, fruit filled",33.15,231.25,5.74,8.91
"Tamale, sweet",101.74,740.0,6.34,35.91
"Strudel, apple",29.74,224.8,1.57,11.26
"Strudel, berry",31.38,232.8,1.94,11.39
"Strudel, cherry",32.54,236.8,1.78,11.28
"Strudel, cheese",31.31,286.4,4.68,15.85
"Strudel, peach",29.38,224.8,1.67,11.26
Baklava,47.25,541.25,8.25,36.26
Basbousa,54.76,351.25,6.0,12.38
"Turnover, fruit",56.8,421.33,4.0,21.47
"Pastry, fruit-filled",69.91,506.41,6.01,24.99
"Pastry, made with bean or lotus seed paste filling, baked",133.53,666.67,13.71,8.73
"Pastry, made with bean paste and salted egg yolk filling, baked",27.93,166.18,4.21,4.22
"Pastry, Chinese, made with rice flour",158.91,853.62,9.81,21.16
"Pastry, cookie type, fried",77.13,863.04,12.98,55.87
"Pastry, Italian, with cheese",41.25,314.12,8.85,12.87
"Pastry, puff",415.45,5072.73,67.27,350.0
"Pastry, puff, custard or cream filled, iced or not iced",52.44,717.54,10.26,52.33
Cheese pastry puffs,223.33,4416.67,155.0,325.67
"Pastry, mainly flour and water, fried",84.64,620.0,11.07,25.87
"Empanada, fruit",43.51,361.33,4.43,19.12
"Breakfast pastry, NFS",85.36,662.5,9.64,33.04
"Danish pastry, plain or spice",686.15,6200.0,107.69,344.62
"Danish pastry, with fruit",90.19,700.0,10.19,34.91
"Danish pastry, with cheese",408.79,4109.89,87.91,240.66
"Doughnut, NFS",66.03,568.0,7.36,30.48
"Doughnut, cake type, plain",78.43,723.33,8.85,41.55
"Doughnut, chocolate",69.27,556.0,6.93,29.92
"Doughnut, cake type, powdered sugar",78.65,663.08,7.54,35.4
"Doughnut, cake type, with icing",68.31,574.67,5.67,30.92
"Doughnut, cake type, chocolate icing",67.05,569.33,5.96,31.28
"Doughnut, chocolate, with chocolate icing",68.01,550.67,7.23,30.29
Doughnut holes,330.13,2840.0,36.8,152.4
Churros,108.6,931.11,13.44,49.36
Beignet,119.31,926.67,12.13,44.84
"Doughnut, yeast type",79.88,701.67,10.23,37.83
"Doughnut, yeast type, with chocolate icing",67.97,554.67,6.84,28.91
"Doughnut, jelly",65.41,487.5,6.18,22.7
"Doughnut, custard-filled",53.58,453.75,6.5,23.65
"Doughnut, custard-filled, with icing",51.39,408.89,5.02,20.78
Breakfast tart,133.02,712.96,7.43,16.7
"Breakfast tart, lowfat",147.69,715.38,7.67,11.52
"Coffee cake, crumb or quick-bread type",7.45,56.21,0.95,2.61
"Coffee cake, crumb or quick-bread type, with fruit",6.41,40.38,0.54,1.47
"Coffee cake, crumb or quick-bread type, cheese-filled",7.97,63.2,1.21,3.03
Cereal or granola bar (General Mills Fiber One Chewy Bar),174.55,972.5,12.5,25.0
Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),182.73,986.49,11.41,23.43
Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),182.73,986.49,11.41,23.43
Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),208.5,1259.38,29.31,34.16
Milk 'n Cereal bar,180.12,1032.5,16.18,27.45
Cereal or granola bar (Kellogg's Special K bar),316.22,1778.26,39.52,39.52
Cereal or granola bar (Kashi Chewy),81.31,500.0,21.37,9.86
Cereal or granola bar (Kashi Crunchy),152.17,1225.71,53.06,44.89
Cereal or granola bar (KIND Fruit and Nut Bar),110.68,1215.0,34.48,79.7
Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix),206.49,1185.71,16.31,32.66
"Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)",212.26,1208.57,16.31,32.66
Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),174.69,1391.43,26.11,65.31
Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),306.67,2242.86,48.1,94.29
Cereal or granola bar (Quaker Chewy Granola Bar),292.5,1741.67,23.54,69.04
Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),329.88,1700.0,17.38,34.71
Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),289.17,1716.67,23.12,52.08
Cereal or granola bar (Quaker Chewy Dipps Granola Bar),209.55,1548.39,24.26,65.87
Cereal or granola bar (Quaker Granola Bites),331.35,2255.0,35.85,87.5
"Snack bar, oatmeal",125.78,648.33,11.12,11.12
"Cereal or Granola bar, NFS",149.77,1095.35,23.49,46.05
"Cereal or granola bar, lowfat, NFS",329.88,1700.0,17.38,34.71
"Cereal or granola bar, nonfat",180.47,795.35,13.72,2.09
"Cereal or granola bar, reduced sugar, NFS",289.17,1716.67,23.12,52.08
"Cereal or granola bar, fruit and nut",110.68,1215.0,34.48,79.7
"Cereal or granola bar, peanuts , oats, sugar, wheat germ",149.77,1095.35,23.49,46.05
"Cereal or granola bar, chocolate coated, NFS",185.6,1371.43,21.49,58.34
"Cereal or granola bar, with coconut, chocolate coated",141.54,1361.54,13.33,82.56
"Cereal or granola bar with nuts, chocolate coated",154.57,1531.43,27.43,89.14
"Cereal or granola bar, oats, nuts, coated with non-chocolate coating",171.8,1300.0,24.57,57.14
"Cereal or granola bar, coated with non-chocolate coating",190.71,1814.29,36.43,111.07
"Cereal or granola bar, high fiber, coated with non-chocolate yogurt coating",249.36,1389.29,17.86,35.71
"Cereal or granola bar, with rice cereal",287.5,1489.29,12.14,32.14
"Breakfast bar, NFS",169.3,874.42,10.23,17.44
"Breakfast bar, date, with yogurt coating",157.56,773.33,8.22,16.22
"Breakfast bar, cereal crust with fruit filling, lowfat",196.76,1016.22,11.89,20.27
Nutrition bar (Balance Original Bar),97.46,830.0,56.0,24.0
Nutrition bar (Clif Bar),96.24,508.82,21.63,8.65
Nutrition bar (Clif Kids Organic Zbar),207.56,1155.56,15.42,27.0
Nutrition bar (PowerBar),102.4,533.82,20.81,4.57
Nutrition bar (Slim Fast Original Meal Bar),107.52,689.29,28.91,15.93
Nutrition bar (Snickers Marathon Protein Bar),63.12,518.75,31.25,15.62
Nutrition bar (South Beach Living Meal Bar),120.42,772.0,32.38,17.84
Nutrition bar (South Beach Living High Protein Bar),109.71,1177.14,86.69,43.34
Nutrition bar (Tiger's Milk),161.31,1105.71,48.0,40.83
Nutrition bar (Zone Perfect Classic Crunch),90.0,852.0,60.0,28.0
"Nutrition bar or meal replacement bar, NFS",132.35,1252.94,88.24,41.18
"Baby Toddler snack, NFS",8340.0,35900.0,734.0,329.0
Baby Toddler bar,343.15,1720.0,27.15,26.5
Baby Toddler cookie,997.0,6000.0,141.14,160.57
Baby Toddler biscuit,4026.5,19750.0,568.5,148.5
"Crackers, NFS",2043.33,17000.0,221.33,881.0
Graham crackers,517.73,2866.67,44.6,70.67
Graham crackers (Teddy Grahams),7766.0,43000.0,669.0,1060.0
"Graham crackers, chocolate covered",267.12,2000.0,16.0,103.2
"Crackers, oatmeal",707.3,4550.0,73.0,164.0
"Crackers, Cuban",1476.0,8600.0,112.0,256.0
"Graham crackers, reduced fat",389.8,1930.0,28.55,28.55
"Graham crackers, sandwich, with filling",1442.0,9660.0,90.0,400.0
"Crackers, breakfast biscuit",473.27,2846.67,47.47,100.47
"Crackers, butter, reduced sodium",2286.67,14766.67,293.33,573.33
"Crackers, matzo, reduced sodium",334.8,1580.0,40.0,5.6
"Crackers, saltine, reduced sodium",2449.33,13866.67,313.0,291.67
"Crackers, wheat, reduced sodium",2286.67,14766.67,293.33,573.33
"Crackers, woven wheat, reduced sodium",1372.0,8860.0,176.0,344.0
"Crackers, butter, plain",2043.33,17000.0,221.33,881.0
"Crackers, butter, flavored",2043.33,17000.0,221.33,881.0
"Crackers, butter (Ritz)",2043.33,17000.0,221.33,881.0
"Crackers, butter, reduced fat",2384.0,14800.0,311.33,445.67
"Crackers, cheese",1980.67,16300.0,364.33,758.0
"Crackers, cheese (Cheez-It)",5942.0,48900.0,1093.0,2274.0
"Crackers, cheese (Goldfish)",5942.0,48900.0,1093.0,2274.0
"Crackers, cheese, reduced fat",2273.0,13933.33,333.33,389.0
"Crackers, cheese, reduced sodium",1940.0,16766.67,336.67,843.33
"Crackers, cheese, whole grain",1909.67,13733.33,320.67,534.33
"Crackers, crispbread",822.0,3660.0,79.0,13.0
"Crackers, flatbread",752.3,4120.0,98.5,82.5
