description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Infant formula, Similac Advance, ready-to-feed",22.52,216.39,4.49,11.87
"Infant formula, Similac Advance, powder, made with tap water",22.52,216.39,4.49,11.87
"Infant formula, Similac Advance, powder, made with bottled water",22.52,216.39,4.49,11.87
"Infant formula, Similac Advance, powder, made with baby water",22.52,216.39,4.49,11.87
"Infant formula, Similac Sensitive, ready-to-feed",22.92,213.11,4.59,11.57
"Infant formula, Similac Sensitive, powder, made with tap water",22.92,213.11,4.59,11.57
"Infant formula, Similac Sensitive, powder, made with bottled water",22.92,213.11,4.59,11.57
"Infant formula, Similac Sensitive, powder, made with baby water",22.92,213.11,4.59,11.57
"Infant formula, Similac for Spit-Up, ready-to-feed",22.62,213.11,4.52,11.41
"Infant formula, Similac for Spit-Up, powder, made with water",22.62,213.11,4.52,11.41
"Toddler formula, Similac Go and Grow",19.25,190.16,5.67,10.2
"Infant formula, Enfamil, NFS",24.07,216.39,4.69,11.44
"Infant formula, Enfamil Premium Newborn, ready-to-feed",24.23,216.39,4.52,11.41
"Infant formula, Enfamil Premium Newborn, powder, made with water",24.23,216.39,4.52,11.41
"Infant formula, Enfamil Infant, ready-to-feed",24.2,216.39,4.59,11.44
"Infant formula, Enfamil Infant, powder, made with tap water",24.2,216.39,4.59,11.44
"Infant formula, Enfamil Infant, powder, made with bottled water",24.2,216.39,4.59,11.44
"Infant formula, Enfamil Infant, powder, made with baby water",24.2,216.39,4.59,11.44
"Infant formula, Enfamil AR, ready-to-feed",24.36,213.11,5.25,10.62
"Infant formula, Enfamil AR, powder, made with water",24.36,213.11,5.25,10.62
"Infant formula, Enfamil Gentlease, ready-to-feed",23.77,219.67,5.02,11.44
"Infant formula, Enfamil Gentlease, powder, made with tap water",23.77,219.67,5.02,11.44
"Infant formula, Enfamil Gentlease, powder, made with bottled water",23.77,219.67,5.02,11.44
"Infant formula, Enfamil Gentlease, powder, made with baby water",23.77,219.67,5.02,11.44
"Toddler formula, Enfamil Enfagrow",23.8,216.39,5.61,11.54
"Toddler formula, PediaSure",35.97,319.35,9.23,15.39
"Toddler formula, Nido Kinder",21.54,203.28,5.64,10.89
"Toddler formula, store brand, beginning or next stage",21.54,203.28,5.64,10.89
"Toddler formula, store brand, pediatric shake",35.97,319.35,9.23,15.39
"Infant formula, Gerber, NFS",23.8,213.11,4.89,10.92
"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",23.93,216.39,4.75,10.95
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",23.93,216.39,4.75,10.95
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",23.93,216.39,4.75,10.95
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",23.93,216.39,4.75,10.95
"Infant formula, Gerber Good Start Gentle, Stage 2",23.93,216.39,4.75,10.95
"Toddler formula, Gerber Good Start, Stage 3",21.54,203.28,5.64,10.89
"Infant formula, premature, powder, made with water",23.51,229.51,6.43,12.39
"Infant formula, premature, ready-to-feed",23.51,229.51,6.43,12.39
"Infant formula, organic, powder, made with water",23.34,216.39,4.52,11.67
"Infant formula, organic, ready-to-feed",23.34,216.39,4.52,11.67
"Infant formula, store brand, advantage or tender, powder, made with tap water",23.34,216.39,4.52,11.67
"Infant formula, store brand, advantage or tender, powder, made with bottled water",23.34,216.39,4.52,11.67
"Infant formula, store brand, advantage or tender, powder, made with baby water",23.34,216.39,4.52,11.67
"Infant formula, store brand, gentle or sensitivity",23.34,216.39,4.79,11.51
"Infant formula, store brand, added rice",23.51,213.11,4.89,11.02
"Infant formula, Enfamil ProSobee, ready-to-feed",22.49,216.39,5.31,11.44
"Infant formula, Enfamil ProSobee, powder, made with tap water",22.49,216.39,5.31,11.44
"Infant formula, Enfamil ProSobee, powder, made with bottled water",22.49,216.39,5.31,11.44
"Infant formula, Enfamil ProSobee, powder, made with baby water",22.49,216.39,5.31,11.44
"Infant formula, Similac Isomil Soy, ready-to-feed",22.07,213.11,5.18,11.57
"Infant formula, Similac Isomil Soy, powder, made with tap water",22.07,213.11,5.18,11.57
"Infant formula, Similac Isomil Soy, powder, made with bottled water",22.07,213.11,5.18,11.57
"Infant formula, Similac Isomil Soy, powder, made with baby water",22.07,213.11,5.18,11.57
"Infant formula, Similac for Diarrhea",21.87,216.39,5.77,11.8
"Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed",23.34,209.84,5.25,10.75
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water",23.34,209.84,5.25,10.75
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water",23.34,209.84,5.25,10.75
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",23.34,209.84,5.25,10.75
"Infant formula, store brand, soy",22.26,213.11,5.25,11.51
"Infant formula, Enfamil Nutramigen, ready-to-feed",21.64,209.84,5.9,11.02
"Infant formula, Enfamil Nutramigen, powder, made with water",21.64,209.84,5.9,11.02
"Infant formula, Enfamil Pregestimil, ready-to-feed",22.39,219.67,5.93,11.87
"Infant formula, Enfamil Pregestimil, powder, made with water",22.39,219.67,5.93,11.87
"Infant formula, amino acids",21.64,213.11,5.93,11.02
"Infant formula, low iron",22.62,216.39,4.69,11.8
